id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_area_rating
7129300520,20141013T000000,221900.0,3.0,1.0,1180.0,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340.0,5650.0,-20855.034232833772
6414100192,20141209T000000,538000.0,3.0,2.25,2570.0,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690.0,7639.0,-20855.034232833772
5631500400,20150225T000000,180000.0,2.0,1.0,770.0,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720.0,8062.0,-20855.034232833772
2487200875,20141209T000000,604000.0,4.0,3.0,1960.0,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360.0,5000.0,243268.14027024357
1954400510,20150218T000000,510000.0,3.0,2.0,1680.0,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800.0,7503.0,-20855.034232833772
7237550310,20140512T000000,1225000.0,4.0,4.5,5420.0,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760.0,101930.0,-20855.034232833772
1321400060,20140627T000000,257500.0,3.0,2.25,1715.0,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238.0,6819.0,-189093.04641081695
2008000270,20150115T000000,291850.0,3.0,1.5,1060.0,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650.0,9711.0,-20855.034232833772
2414600126,20150415T000000,229500.0,3.0,1.0,1780.0,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780.0,8113.0,-20855.034232833772
3793500160,20150312T000000,323000.0,3.0,2.5,1890.0,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390.0,7570.0,-189093.04641081695
1736800520,20150403T000000,662500.0,3.0,2.5,3560.0,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210.0,8925.0,-20855.034232833772
